DATAOUT, 'database', 'ranks', 'pub size', 'delay', 'total size', 'count', 'min latency', 'mean latency', 'max latency', 'variance latency'
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 256, 100000, 15360, 30720, 0.00150704383850098, 0.00223872374432782, 0.00499606132507324, 1.66509434733515e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 256, 10000, 153600, 307200, 0.00155115127563477, 0.0028102421372508, 0.0129880905151367, 6.15302826628404e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 256, 10000, 153600, 307200, 0.00118494033813477, 0.00237381828483194, 0.0073390007019043, 1.09145369321141e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 320, 1000000, 1920, 3840, 0.00384902954101562, 0.013847137739261, 0.0390059947967529, 0.000109004464902325
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 320, 1000000, 1920, 3840, 0.00180196762084961, 0.00650206233064334, 0.0197620391845703, 2.53028661421664e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 320, 100000, 19200, 38400, 0.00234103202819824, 0.00332426740477482, 0.0132238864898682, 1.43290423253674e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 320, 100000, 19200, 38400, 0.00179505348205566, 0.00268071157236894, 0.00649905204772949, 3.29629268937694e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 320, 10000, 192000, 384000, 0.00159621238708496, 0.00374312936576704, 0.0211930274963379, 1.36868337632329e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 320, 10000, 192000, 384000, 0.00114703178405762, 0.00320991844000916, 0.0152530670166016, 1.50140808519453e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 384, 1000000, 2304, 4608, 0.00552010536193848, 0.0133398463949561, 0.0318889617919922, 5.2772605644382e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 384, 1000000, 2304, 4608, 0.00209403038024902, 0.00769412900424666, 0.0217840671539307, 2.77763722766748e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 384, 100000, 23040, 46080, 0.00275516510009766, 0.00441648420463834, 0.022468090057373, 6.43171454372643e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 384, 100000, 23040, 46080, 0.00208592414855957, 0.0036271707723952, 0.0164990425109863, 3.72198108039962e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 384, 10000, 230400, 460800, 0.00164318084716797, 0.00283985591700508, 0.022536039352417, 1.37571555181437e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 384, 10000, 230400, 460800, 0.00120806694030762, 0.0020958885219362, 0.0175929069519043, 1.05714453481594e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 448, 1000000, 2688, 5376, 0.00642013549804687, 0.0163553001004316, 0.0412571430206299, 0.000110821306120645
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 448, 1000000, 2688, 5376, 0.00235581398010254, 0.00891025328920001, 0.024320125579834, 3.93571621394358e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 448, 100000, 26880, 53760, 0.00319099426269531, 0.00444200312097867, 0.0151350498199463, 1.72113436240897e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 448, 100000, 26880, 53760, 0.00236606597900391, 0.0035541610393141, 0.00813698768615723, 5.72604911415253e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 448, 10000, 268800, 537600, 0.00164699554443359, 0.00306805201717431, 0.0151188373565674, 9.63375403713992e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 448, 10000, 268800, 537600, 0.00121402740478516, 0.00226207559085673, 0.00961112976074219, 5.72498273892029e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 512, 1000000, 3072, 6144, 0.00734400749206543, 0.0193454179291924, 0.0378119945526123, 6.91708016631672e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 512, 1000000, 3072, 6144, 0.00266385078430176, 0.00972258815697084, 0.0262801647186279, 4.53873541128377e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 512, 100000, 30720, 61440, 0.00360393524169922, 0.00501381014085685, 0.0164079666137695, 1.97638393194591e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 512, 100000, 30720, 61440, 0.00265693664550781, 0.0039554867388991, 0.00903892517089844, 5.88413148864851e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 512, 10000, 307200, 614400, 0.0016789436340332, 0.00332225247790727, 0.0231180191040039, 4.1247980450256e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 512, 10000, 307200, 614400, 0.00121498107910156, 0.00261217650530549, 0.024169921875, 4.89638379588698e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 3, 1, 1000000, 6, 18, 0.000185966491699219, 0.00564734141031901, 0.0305130481719971, 0.000122253285092534
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 3, 1, 1000000, 6, 18, 0.0002899169921875, 0.00314492649502224, 0.0160660743713379, 3.29568907113472e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 3, 1, 100000, 60, 180, 0.000123977661132813, 0.000960289107428657, 0.0156300067901611, 3.71646803319121e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 3, 1, 100000, 60, 180, 0.000293970108032227, 0.000764593813154433, 0.00889992713928223, 1.161618986546e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 3, 1, 10000, 600, 1800, 8.89301300048828e-05, 0.000368530088000827, 0.0155720710754395, 5.81526600710797e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 3, 1, 10000, 600, 1800, 0.000303030014038086, 0.000461848709318373, 0.0144739151000977, 2.46153855374359e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 3, 64, 1000000, 384, 1152, 0.00129890441894531, 0.00902646883494324, 0.0344498157501221, 0.000126165840151606
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 3, 64, 1000000, 384, 1152, 0.000617027282714844, 0.00515492984818088, 0.0194268226623535, 3.91665502571433e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 3, 64, 100000, 3840, 11520, 0.000886917114257813, 0.00239962457368771, 0.019028902053833, 4.81164772125264e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 3, 64, 100000, 3840, 11520, 0.000642061233520508, 0.001529786342548, 0.0121159553527832, 2.13101408863796e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 3, 64, 10000, 38400, 115200, 0.000585079193115234, 0.0011264236147205, 0.0195169448852539, 8.08499950915124e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 3, 64, 10000, 38400, 115200, 0.000627040863037109, 0.00117221521627572, 0.0138850212097168, 4.00275589732004e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 3, 128, 1000000, 768, 2304, 0.00428199768066406, 0.0127295304296745, 0.0372030735015869, 0.000107969966414923
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 3, 128, 1000000, 768, 2304, 0.00286602973937988, 0.00731531851407554, 0.0224499702453613, 3.79894336832143e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 3, 128, 100000, 7680, 23040, 0.00130796432495117, 0.0054874830879271, 0.0215451717376709, 9.91285524084331e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 3, 128, 100000, 7680, 23040, 0.00102400779724121, 0.00324963995565971, 0.0148570537567139, 3.32927052630308e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 3, 128, 10000, 76800, 230400, 0.000867128372192383, 0.00171030490038296, 0.0239529609680176, 1.59081742025399e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 3, 128, 10000, 76800, 230400, 0.000866889953613281, 0.00153633209566275, 0.0209300518035889, 9.37190844644041e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 3, 192, 1000000, 1152, 3456, 0.00988197326660156, 0.0167536184329677, 0.0413320064544678, 0.000105121930234183
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 3, 192, 1000000, 1152, 3456, 0.00377106666564941, 0.00912234194024845, 0.0257499217987061, 4.53904138292272e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 3, 192, 100000, 11520, 34560, 0.00142812728881836, 0.00280364635228007, 0.0247941017150879, 8.35136597396701e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 3, 192, 100000, 11520, 34560, 0.00121784210205078, 0.002402515405858, 0.0180361270904541, 4.5270482610936e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 3, 192, 10000, 115200, 345600, 0.000953912734985352, 0.00229771118128189, 0.0251049995422363, 1.78180925470055e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 3, 192, 10000, 115200, 345600, 0.00084996223449707, 0.00210309071535314, 0.0204908847808838, 1.41287801482223e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 3, 256, 1000000, 1536, 4608, 0.00190210342407227, 0.0170730722343756, 0.045651912689209, 0.000183502002354015
